idade,experiencia,cidade,nivel,bonus,salario
52.0,13,BH,senior,3076.85,78140.09
26.0,19,BH,senior,3279.84,41993.0
56.0,19,RJ,junior,3162.52,77912.65
44.0,10,SP,senior,3397.42,61473.51
50.0,3,BH,junior,2217.23,61841.33
32.0,14,BH,pleno,1839.11,47202.02
39.0,19,RJ,pleno,4147.31,55488.37
33.0,5,RJ,junior,3199.67,77473.76
30.0,5,SP,pleno,3616.68,59523.17
31.0,17,BH,pleno,1592.19,55555.01
38.0,10,SP,junior,3853.35,64057.19
59.0,5,SP,pleno,2582.81,58077.82
28.0,4,RJ,senior,2355.03,63451.51
34.0,6,BH,senior,2949.3,51502.59
30.0,4,BH,junior,2217.62,59228.47
48.0,7,BH,pleno,2998.61,53589.24
23.0,7,RJ,senior,2890.93,41960.33
26.0,18,RJ,senior,3848.32,64819.58
50.0,3,RJ,pleno,4210.68,47662.27
58.0,1,RJ,pleno,4185.21,58352.59
59.0,4,RJ,senior,1188.39,69260.68
40.0,6,BH,senior,2251.87,45021.87
29.0,9,SP,junior,1180.09,66046.84
22.0,14,BH,junior,2045.17,57001.87
43.0,12,SP,senior,2480.39,50334.77
38.0,4,RJ,junior,3328.45,80229.23
28.0,12,SP,senior,2584.05,59994.44
46.0,10,BH,senior,2606.34,54319.07
25.0,7,BH,junior,3145.41,52197.87
57.0,3,SP,junior,1632.55,68811.62
27.0,14,RJ,pleno,2329.13,53879.44
52.0,10,RJ,pleno,2597.15,67565.18
40.0,16,BH,pleno,2838.08,59975.2
48.0,16,SP,senior,3061.56,71161.88
31.0,10,RJ,junior,4200.52,49574.61
47.0,13,RJ,senior,3726.67,50969.37
40.0,6,BH,junior,2384.55,57189.95
24.0,12,RJ,senior,2790.94,58019.34
34.0,9,SP,pleno,2736.45,56454.43
49.0,13,BH,pleno,2588.68,86314.4
41.0,4,BH,pleno,3218.01,80632.47
49.0,11,SP,senior,1512.18,62990.55
29.0,18,BH,junior,3704.57,64169.72
22.0,11,RJ,junior,4354.84,57635.68
24.0,4,RJ,pleno,2784.13,49501.74
34.0,18,SP,pleno,2768.51,58179.28
49.0,1,RJ,pleno,3125.64,67711.18
46.0,7,SP,pleno,3815.51,73056.27
54.0,6,SP,junior,2740.57,69957.08
59.0,15,RJ,senior,3747.16,44902.26
27.0,18,SP,senior,3390.8,57107.72
53.0,11,RJ,senior,4889.29,45311.32
42.0,15,BH,senior,2737.07,71688.44
37.0,16,BH,pleno,1419.2,55876.16
42.0,7,SP,pleno,1853.65,59528.9
32.0,10,RJ,pleno,3009.54,64800.5
58.0,12,RJ,senior,3822.31,87661.4
57.0,14,BH,pleno,2477.99,62682.75
56.0,5,BH,pleno,2815.25,57617.29
40.0,18,RJ,junior,3547.87,47589.58
41.0,5,SP,junior,2227.81,74586.39
39.0,3,BH,pleno,2510.98,58183.64
35.0,5,SP,junior,2065.82,76571.42
36.0,17,SP,junior,3942.58,71056.13
52.0,19,BH,pleno,4233.34,55370.44
22.0,19,SP,pleno,1736.47,46077.24
24.0,12,SP,pleno,2886.25,62725.69
37.0,9,RJ,pleno,4125.81,53850.96
44.0,1,SP,senior,3318.96,60393.46
32.0,18,RJ,senior,2608.61,70490.5
33.0,4,BH,pleno,1763.07,43464.18
31.0,10,BH,junior,3922.36,62646.14
53.0,7,RJ,pleno,3288.41,67595.96
37.0,1,BH,pleno,1821.61,68081.11
29.0,17,SP,junior,3951.91,46364.58
59.0,2,SP,senior,1719.68,64193.36
33.0,11,SP,pleno,2823.61,72035.37
45.0,9,BH,pleno,2788.31,63432.34
49.0,7,SP,senior,4294.71,58843.06
29.0,17,BH,senior,2791.16,71396.13
49.0,17,SP,junior,2788.29,53056.81
57.0,2,RJ,senior,1909.54,44701.67
47.0,6,BH,senior,2487.68,57994.02
29.0,14,BH,senior,2346.16,65350.45
49.0,6,SP,junior,2387.82,70389.37
49.0,2,BH,senior,3005.03,65305.03
,1,BH,senior,1052.66,68358.21
57.0,10,RJ,junior,1791.82,70453.11
48.0,5,RJ,senior,2911.18,56606.23
38.0,2,SP,senior,3097.0,58520.61
30.0,16,RJ,junior,2813.25,72871.68
54.0,2,SP,pleno,2967.36,47898.43
41.0,10,SP,junior,2672.71,64291.33
34.0,2,SP,senior,2985.2,52832.91
49.0,16,BH,senior,3347.31,71002.62
50.0,16,RJ,senior,3341.71,59820.65
34.0,19,SP,junior,2448.83,60075.94
56.0,7,RJ,senior,3732.08,77288.8
27.0,12,SP,senior,3125.69,49239.57
39.0,15,RJ,junior,3985.77,62158.19
26.0,8,RJ,pleno,4146.3,58198.74
46.0,6,SP,pleno,1845.82,65324.11
23.0,10,BH,senior,2312.78,79293.31
31.0,3,RJ,junior,3650.84,53947.58
51.0,19,BH,senior,1668.09,48026.02
26.0,17,BH,junior,4136.14,51906.73
54.0,7,SP,junior,2724.89,57671.82
22.0,4,SP,pleno,3460.03,60642.31
39.0,14,SP,pleno,2906.89,61145.29
53.0,15,RJ,junior,1886.09,78026.61
32.0,8,SP,senior,3844.44,76248.39
42.0,15,SP,pleno,5200.58,73029.46
47.0,14,RJ,senior,2587.99,85144.39
46.0,9,RJ,pleno,2742.11,68240.98
43.0,8,SP,pleno,880.72,71083.55
48.0,17,SP,senior,4081.2,68047.71
34.0,2,SP,pleno,3729.41,66409.05
54.0,3,SP,pleno,1613.29,63943.97
55.0,8,BH,senior,1348.09,56031.43
56.0,12,BH,pleno,1440.61,47532.22
22.0,1,SP,pleno,3516.14,58693.46
42.0,10,BH,pleno,3595.99,65657.74
27.0,3,RJ,senior,2261.33,60722.62
49.0,6,BH,junior,3399.41,49346.64
38.0,7,BH,senior,3127.1,58341.17
26.0,18,SP,junior,2706.18,57819.97
52.0,11,BH,pleno,3776.16,59376.45
26.0,19,BH,junior,2036.05,64909.15
59.0,5,BH,senior,3918.03,67062.58
24.0,19,BH,senior,2417.18,54999.49
44.0,11,RJ,pleno,4425.23,69811.21
58.0,12,SP,junior,2195.76,71316.38
58.0,10,SP,pleno,2718.74,63203.02
31.0,8,RJ,pleno,3046.87,66647.5
31.0,9,BH,senior,3041.85,69842.31
40.0,4,RJ,junior,3392.66,49023.55
38.0,5,BH,junior,1971.45,70547.31
42.0,8,RJ,junior,2970.15,52099.39
35.0,9,SP,junior,3110.51,53072.98
30.0,15,SP,pleno,2577.81,61962.89
22.0,15,SP,pleno,3323.25,38559.6
34.0,16,BH,senior,1922.9,61756.2
25.0,14,BH,pleno,2738.84,69817.81
22.0,8,RJ,pleno,2397.45,43540.76
53.0,18,RJ,senior,2741.26,70890.09
55.0,10,SP,senior,4157.63,53012.12
,6,BH,senior,4173.16,62068.62
52.0,12,RJ,pleno,4016.33,54464.25
29.0,2,BH,pleno,2630.19,65729.18
47.0,7,BH,senior,3726.09,70249.48
55.0,16,SP,senior,3089.89,66470.1
24.0,3,SP,senior,3036.47,59960.19
33.0,13,BH,pleno,2938.11,55241.45
22.0,3,BH,pleno,4406.73,59306.98
26.0,18,BH,junior,4092.67,66559.71
51.0,11,BH,pleno,3595.92,66902.66
51.0,8,SP,pleno,2863.76,65508.27
38.0,6,RJ,pleno,3031.65,47174.22
44.0,1,SP,senior,3424.45,59769.78
36.0,1,RJ,pleno,2582.71,53665.71
58.0,8,BH,senior,3750.65,66649.29
42.0,5,RJ,junior,2263.0,52350.28
35.0,16,SP,junior,3313.47,64520.54
23.0,11,SP,senior,1168.23,57178.12
32.0,5,BH,senior,2559.51,41209.04
59.0,4,SP,senior,4662.14,69309.59
55.0,6,BH,pleno,3828.95,59747.13
59.0,14,SP,junior,4228.37,72759.77
55.0,19,SP,senior,2466.15,43346.91
39.0,9,BH,pleno,3083.02,57084.79
51.0,12,RJ,junior,4025.59,57835.96
36.0,11,SP,pleno,3506.48,62702.06
48.0,14,RJ,junior,3406.85,46748.13
55.0,16,SP,pleno,4304.47,65440.38
59.0,1,SP,junior,2167.64,79116.62
54.0,13,SP,junior,2852.61,64745.37
45.0,13,SP,pleno,1596.73,60928.72
36.0,2,RJ,senior,2123.92,46225.43
51.0,4,RJ,junior,3859.35,52257.54
38.0,6,SP,senior,2266.12,59441.55
26.0,5,SP,pleno,3588.42,54702.24
50.0,3,RJ,senior,4326.79,70262.56
25.0,1,BH,senior,2857.65,65337.03
31.0,4,BH,senior,3415.89,86923.79
38.0,2,RJ,senior,3594.65,50191.42
31.0,5,SP,senior,2022.8,60331.15
38.0,3,SP,junior,2506.84,46165.08
41.0,9,BH,junior,2197.07,37775.59
45.0,6,BH,junior,2570.62,67227.21
26.0,18,RJ,pleno,3572.89,64966.15
55.0,6,BH,senior,2523.84,51454.1
27.0,19,RJ,junior,2971.88,60930.3
23.0,12,BH,pleno,2166.03,53707.32
34.0,11,BH,junior,3981.14,55057.93
32.0,2,BH,junior,2563.91,56797.15
44.0,15,SP,senior,4218.38,250000.0
37.0,12,SP,pleno,3048.74,52833.5
52.0,12,SP,senior,1874.4,53115.65
32.0,9,BH,senior,2863.18,64228.79
37.0,2,RJ,junior,2149.78,32257.8
29.0,3,RJ,senior,3471.48,57723.71
25.0,12,RJ,pleno,2790.91,49123.18
25.0,16,RJ,senior,3130.57,49484.47
46.0,1,SP,senior,2704.52,54743.47
24.0,3,SP,senior,2555.73,59856.6
53.0,2,BH,junior,2221.1,57855.88
24.0,9,BH,pleno,3668.98,49359.39
48.0,19,RJ,junior,2861.48,67216.97
50.0,15,SP,junior,2748.25,50973.96
53.0,18,RJ,junior,2841.43,52652.94
40.0,11,BH,junior,2456.91,62844.92
42.0,16,BH,junior,2750.92,63203.69
26.0,17,RJ,pleno,3164.5,53883.0
39.0,5,BH,senior,2172.69,30638.38
49.0,12,RJ,junior,2288.52,51145.09
43.0,11,SP,junior,4102.63,61618.88
42.0,15,RJ,pleno,2709.79,66886.08
27.0,3,SP,pleno,2558.75,59207.03
22.0,1,SP,senior,1924.9,55210.14
26.0,16,BH,pleno,3680.54,82932.11
33.0,2,BH,senior,2155.26,56275.14
47.0,2,BH,junior,2987.77,66122.33
55.0,3,RJ,junior,1633.45,46649.48
35.0,8,RJ,senior,3654.54,49098.32
47.0,15,BH,pleno,3941.48,66473.26
48.0,7,RJ,senior,3387.62,70445.61
30.0,6,BH,pleno,1772.42,56102.83
47.0,9,RJ,junior,3671.01,41513.64
43.0,1,SP,pleno,2338.12,58324.43
51.0,8,SP,senior,2063.22,61894.06
38.0,3,BH,senior,2693.23,60988.18
47.0,4,RJ,junior,2677.31,54366.1
57.0,15,RJ,pleno,2595.96,58471.16
22.0,6,SP,pleno,4018.94,52502.23
29.0,15,SP,pleno,4609.46,48881.62
56.0,3,BH,junior,1904.69,67556.69
36.0,14,SP,pleno,2448.93,60977.98
43.0,14,BH,senior,3114.2,58493.16
35.0,4,SP,pleno,2689.03,54928.52
47.0,12,SP,junior,3319.52,58198.26
49.0,17,RJ,pleno,3732.79,61603.16
44.0,7,SP,pleno,3599.49,77286.82
35.0,9,SP,senior,3487.79,66545.37
45.0,3,BH,pleno,4327.28,53336.91
23.0,13,SP,senior,1728.84,53442.36
47.0,15,BH,senior,4184.09,51883.19
35.0,18,SP,junior,2669.61,57994.79
28.0,19,SP,senior,3628.1,51875.49
24.0,1,BH,senior,2176.27,64748.24
44.0,6,RJ,junior,2273.2,33564.84
39.0,2,BH,senior,3529.69,65351.68
59.0,14,BH,junior,1457.02,62753.77
56.0,6,BH,pleno,3791.55,72627.42
36.0,14,RJ,junior,4007.97,68767.9
46.0,4,SP,senior,3142.23,53163.02
58.0,8,BH,junior,3113.41,67642.98
49.0,3,BH,senior,2333.09,58319.33
31.0,19,RJ,pleno,3539.56,40656.93
38.0,14,BH,junior,3278.13,61588.32
43.0,17,SP,pleno,2262.8,53757.47
47.0,8,RJ,senior,2686.82,60002.22
46.0,14,SP,senior,2872.53,76514.5
38.0,6,SP,pleno,2685.76,62247.87
34.0,16,RJ,junior,1909.67,49826.65
41.0,19,BH,junior,3559.22,69644.15
46.0,14,SP,senior,2805.19,63625.43
25.0,19,SP,pleno,3012.29,48648.38
31.0,3,SP,pleno,2537.39,43937.62
24.0,10,SP,junior,3380.22,50226.62
39.0,19,RJ,junior,3158.96,68363.02
57.0,9,RJ,junior,3970.23,56983.98
43.0,13,SP,pleno,3384.48,60811.43
55.0,7,BH,junior,2837.85,46614.7
29.0,14,SP,junior,2408.23,68632.19
40.0,9,BH,senior,3692.76,39848.16
58.0,19,SP,junior,2773.94,53446.22
27.0,15,BH,junior,2862.63,64184.64
47.0,14,SP,pleno,2862.42,48773.69
55.0,6,BH,pleno,2678.71,66141.29
27.0,4,SP,senior,2876.37,51308.06
58.0,8,SP,junior,4540.97,47739.29
54.0,17,BH,senior,2161.74,72864.82
43.0,9,RJ,pleno,2348.4,61539.3
42.0,1,BH,senior,4107.46,65190.36
27.0,14,RJ,pleno,2700.16,70182.1
27.0,11,SP,senior,2639.5,33807.01
25.0,3,BH,senior,3827.89,66347.83
51.0,9,BH,junior,1863.84,52389.75
32.0,14,BH,senior,3657.16,53707.27
51.0,9,RJ,junior,3036.49,64374.41
52.0,4,RJ,junior,3371.84,56369.59
45.0,4,SP,junior,3356.82,65945.21
30.0,8,RJ,junior,2497.61,59591.57
24.0,2,RJ,senior,3840.95,61682.09
52.0,9,SP,pleno,2559.89,55097.78
58.0,14,BH,pleno,3327.08,49350.67
57.0,9,BH,pleno,3990.18,52596.82
45.0,16,SP,senior,4103.12,58971.76
52.0,17,BH,junior,2786.3,78372.38
27.0,16,RJ,pleno,3370.51,74719.06
23.0,12,SP,senior,2712.41,53467.04
41.0,3,SP,junior,5003.04,60602.58
49.0,11,SP,pleno,3624.1,57122.77
32.0,14,BH,junior,3067.25,61302.67
25.0,18,SP,pleno,3250.05,62589.13
36.0,5,SP,pleno,3325.68,65275.15
27.0,16,SP,pleno,3349.39,30988.61
51.0,5,BH,junior,2808.0,63664.99
59.0,3,RJ,senior,2684.54,56010.79
23.0,12,SP,junior,2878.52,52950.62
36.0,1,RJ,pleno,2088.25,67942.57
32.0,9,BH,junior,3574.62,74668.24
29.0,9,BH,senior,2358.64,66890.03
47.0,4,BH,junior,2152.04,54814.48
26.0,3,BH,senior,2988.52,49239.94
27.0,17,RJ,senior,2895.9,29937.56
47.0,2,SP,junior,3199.71,61825.16
25.0,1,BH,pleno,2545.44,65790.16
40.0,8,BH,senior,2685.97,58981.36
41.0,13,RJ,junior,3553.7,69337.46
54.0,15,RJ,senior,3504.97,46798.1
41.0,8,BH,pleno,3471.62,58287.61
33.0,12,SP,junior,3027.17,57496.99
22.0,12,SP,junior,3135.14,58898.91
47.0,14,BH,junior,3184.35,71679.32
35.0,15,RJ,pleno,2475.17,58951.58
59.0,15,BH,senior,4179.24,57052.08
58.0,9,BH,junior,4065.27,50633.07
32.0,19,RJ,senior,3635.4,73285.79
,8,BH,senior,2659.31,45688.04
34.0,19,BH,pleno,3431.32,54470.01
24.0,6,BH,junior,3782.7,76939.37
54.0,19,RJ,senior,2021.44,64682.43
27.0,4,SP,junior,4355.61,59798.23
31.0,7,SP,junior,1608.49,60216.92
26.0,4,RJ,pleno,3563.68,50536.22
44.0,12,SP,junior,4162.63,59314.73
31.0,13,BH,junior,2909.55,56501.34
23.0,3,SP,senior,2879.63,61796.29
34.0,12,BH,pleno,3534.13,44937.59
23.0,2,SP,junior,4481.51,63978.52
41.0,2,RJ,senior,2775.15,70166.3
22.0,9,SP,pleno,2375.24,57961.77
58.0,1,SP,pleno,2660.98,66470.98
30.0,8,SP,senior,1757.99,63103.46
38.0,6,RJ,senior,3718.21,53922.6
30.0,6,SP,senior,2588.73,49414.74
32.0,18,RJ,senior,2833.33,50816.12
36.0,17,BH,senior,3727.7,62928.93
45.0,12,SP,junior,2698.47,59438.55
59.0,6,RJ,junior,3607.27,72750.93
56.0,8,RJ,pleno,2169.53,67908.7
51.0,19,SP,junior,3766.98,67887.85
52.0,10,BH,junior,3273.52,62630.81
26.0,1,RJ,junior,2929.14,50378.01
35.0,13,SP,senior,3104.71,63253.39
32.0,17,BH,pleno,1970.59,60638.53
30.0,3,RJ,pleno,3086.4,48616.19
55.0,8,RJ,pleno,2886.66,72099.49
33.0,14,BH,pleno,1992.45,71022.89
56.0,3,BH,junior,2463.14,48558.51
56.0,16,SP,junior,2896.6,53622.05
22.0,13,SP,senior,2514.17,54500.5
43.0,17,RJ,pleno,1070.31,66098.52
50.0,13,BH,junior,3861.11,64947.25
29.0,6,BH,junior,2886.33,60444.07
32.0,17,BH,senior,1180.84,62738.57
58.0,14,RJ,senior,4707.97,47123.68
35.0,17,BH,senior,3993.11,63813.61
51.0,8,BH,junior,2720.81,58991.15
56.0,11,RJ,junior,2326.0,53209.57
42.0,1,SP,senior,3322.55,44674.94
58.0,7,SP,pleno,3161.86,60269.61
26.0,17,RJ,senior,3433.67,63569.6
40.0,10,BH,senior,2328.3,42975.18
35.0,11,RJ,senior,3878.22,60184.86
47.0,9,SP,senior,2621.23,61222.4
25.0,9,SP,junior,3544.61,54457.7
46.0,5,RJ,pleno,2362.45,63798.38
46.0,17,RJ,senior,5118.52,58673.38
39.0,9,SP,pleno,3556.42,62831.71
29.0,17,RJ,pleno,5307.39,65342.47
35.0,19,SP,pleno,3662.08,65348.07
53.0,7,RJ,senior,2550.83,70168.2
59.0,9,RJ,junior,3663.5,63383.25
54.0,7,RJ,senior,3720.46,55229.59
44.0,13,SP,pleno,3298.66,53522.1
36.0,11,RJ,pleno,3504.31,49366.91
54.0,14,SP,junior,3609.38,61511.8
46.0,19,SP,senior,2205.06,73213.12
38.0,11,RJ,pleno,2148.11,56415.47
54.0,13,RJ,junior,2364.63,64496.08
23.0,14,SP,pleno,3102.03,52477.2
35.0,13,SP,junior,2821.46,61948.05
27.0,1,BH,junior,2219.54,72593.47
27.0,8,SP,senior,3620.25,66862.48
24.0,12,BH,pleno,3226.44,44291.88
28.0,19,BH,senior,3135.14,65706.95
29.0,12,BH,pleno,2793.61,66162.26
36.0,8,RJ,senior,2697.42,61734.87
50.0,8,RJ,pleno,2326.94,66675.22
54.0,13,SP,senior,3746.99,51664.98
51.0,12,BH,junior,2437.21,60632.63
48.0,16,RJ,pleno,3167.51,71101.74
57.0,1,RJ,pleno,4329.61,70199.49
,13,RJ,junior,2734.19,65480.45
,7,RJ,senior,3768.56,51170.05
54.0,5,RJ,pleno,3454.97,49595.36
58.0,8,BH,pleno,3249.17,61145.44
48.0,14,BH,senior,3344.28,61807.74
54.0,13,BH,junior,2924.07,58996.28
25.0,15,BH,senior,3027.82,51952.15
43.0,17,SP,senior,2561.51,64369.61
23.0,15,BH,senior,3033.17,61101.65
31.0,18,RJ,pleno,2531.82,62898.24
26.0,18,BH,junior,3804.52,65934.34
31.0,2,SP,junior,1640.4,57263.5
54.0,4,RJ,senior,3384.84,55112.42
59.0,1,BH,pleno,3269.27,71075.65
34.0,4,BH,senior,3196.81,52426.42
52.0,18,BH,pleno,3819.6,55308.26
57.0,5,RJ,pleno,2771.1,72342.48
45.0,19,RJ,pleno,3204.35,54529.76
36.0,15,SP,pleno,1626.77,59013.82
50.0,8,RJ,junior,2667.75,55880.3
29.0,17,RJ,pleno,3684.59,42167.79
26.0,1,BH,pleno,1928.67,58766.92
50.0,12,RJ,senior,3127.79,49893.78
25.0,19,BH,senior,2457.99,62545.8
33.0,15,BH,junior,2911.21,71056.39
23.0,9,RJ,senior,2505.86,37858.26
48.0,7,SP,pleno,2002.24,55930.83
52.0,2,SP,senior,3308.8,64523.23
57.0,9,RJ,junior,2960.32,38166.51
57.0,10,SP,senior,3490.1,73362.65
47.0,2,BH,senior,3635.55,63798.92
48.0,19,BH,junior,3980.21,70832.13
26.0,11,RJ,junior,3106.79,54360.52
41.0,13,SP,pleno,4014.9,55566.79
32.0,10,SP,senior,2219.38,58390.64
31.0,14,BH,pleno,3727.17,81382.09
59.0,18,RJ,senior,3367.51,73181.05
27.0,19,SP,senior,3186.47,61323.48
29.0,9,RJ,pleno,3355.79,62544.02
44.0,7,SP,senior,2231.41,66349.04
47.0,3,BH,senior,2042.6,83915.55
33.0,6,BH,senior,4367.86,63827.2
47.0,2,RJ,junior,2865.02,60459.59
34.0,6,BH,pleno,2853.61,56614.02
